Date,open,high,low,close,adjclose,volume,ingested_at_utc
15-02-2021,247000,249000,243500,247500,201565.5156,916331,2026-02-19 06:47:45.287325+00:00
16-02-2021,249000,251000,245000,247500,201565.5156,1179084,2026-02-19 06:47:45.287325+00:00
17-02-2021,248000,248000,242500,243500,198307.9063,871176,2026-02-19 06:47:45.287325+00:00
18-02-2021,241000,243500,235500,235500,191792.6563,1260023,2026-02-19 06:47:45.287325+00:00
19-02-2021,236500,242000,235500,242000,197086.2656,1168454,2026-02-19 06:47:45.287325+00:00
22-02-2021,243000,247500,240000,241500,196679.0781,1157808,2026-02-19 06:47:45.287325+00:00
23-02-2021,242500,247500,237000,244500,199122.2813,1629578,2026-02-19 06:47:45.287325+00:00
24-02-2021,246500,249000,235000,235000,191385.4531,2072507,2026-02-19 06:47:45.287325+00:00
25-02-2021,239000,245000,235000,245000,199529.5313,1562697,2026-02-19 06:47:45.287325+00:00
26-02-2021,238500,248500,235500,237000,193014.2344,2710962,2026-02-19 06:47:45.287325+00:00
02-03-2021,244500,249000,237000,239000,194643.0469,2509152,2026-02-19 06:47:45.287325+00:00
03-03-2021,239000,241500,236500,240000,195457.5,910872,2026-02-19 06:47:45.287325+00:00
04-03-2021,236000,238000,232500,235000,191385.4531,1274581,2026-02-19 06:47:45.287325+00:00
05-03-2021,230500,237000,228500,235000,191385.4531,1153198,2026-02-19 06:47:45.287325+00:00
08-03-2021,237000,237500,230000,230500,187720.6094,853206,2026-02-19 06:47:45.287325+00:00
09-03-2021,230500,234000,228000,231500,188535.0156,1254755,2026-02-19 06:47:45.287325+00:00
10-03-2021,236500,236500,227000,227500,185277.4063,901351,2026-02-19 06:47:45.287325+00:00
11-03-2021,228000,232000,227500,228500,186091.8438,1154314,2026-02-19 06:47:45.287325+00:00
12-03-2021,231500,233500,229000,232500,189349.4219,823038,2026-02-19 06:47:45.287325+00:00
15-03-2021,233000,236000,230000,232000,188942.2344,769672,2026-02-19 06:47:45.287325+00:00
16-03-2021,233500,235000,232000,234000,190571.0313,633617,2026-02-19 06:47:45.287325+00:00
17-03-2021,234000,234000,230000,232000,188942.2344,627439,2026-02-19 06:47:45.287325+00:00
18-03-2021,234500,238000,233500,234000,190571.0313,1005422,2026-02-19 06:47:45.287325+00:00
19-03-2021,230000,232000,229000,229500,186906.2031,1055587,2026-02-19 06:47:45.287325+00:00
22-03-2021,230000,231000,227500,229000,186499,739527,2026-02-19 06:47:45.287325+00:00
23-03-2021,229500,231000,225500,226500,184463.0156,1024811,2026-02-19 06:47:45.287325+00:00
24-03-2021,225000,225500,220000,221000,179983.7656,1049551,2026-02-19 06:47:45.287325+00:00
25-03-2021,218500,220500,216000,218000,177540.5469,1087519,2026-02-19 06:47:45.287325+00:00
26-03-2021,219500,219500,212000,215500,175504.5156,1480861,2026-02-19 06:47:45.287325+00:00
29-03-2021,215500,217500,211000,215500,175504.5156,1184415,2026-02-19 06:47:45.287325+00:00
30-03-2021,215500,221000,215000,219500,178762.1406,935840,2026-02-19 06:47:45.287325+00:00
31-03-2021,221500,222000,218000,218000,177540.5469,750876,2026-02-19 06:47:45.287325+00:00
01-04-2021,220500,224500,218500,219000,178354.9688,749450,2026-02-19 06:47:45.287325+00:00
02-04-2021,225500,238500,225000,233500,190163.8438,3648528,2026-02-19 06:47:45.287325+00:00
05-04-2021,236000,236500,230000,234000,190571.0313,990184,2026-02-19 06:47:45.287325+00:00
06-04-2021,235000,235000,229500,230000,187313.4375,737694,2026-02-19 06:47:45.287325+00:00
07-04-2021,228500,232500,226500,230000,187313.4375,708886,2026-02-19 06:47:45.287325+00:00
08-04-2021,229000,233500,227000,231500,188535.0156,915323,2026-02-19 06:47:45.287325+00:00
09-04-2021,231500,232000,227000,228500,186091.8438,726250,2026-02-19 06:47:45.287325+00:00
12-04-2021,228000,229000,225500,226000,184055.7969,659014,2026-02-19 06:47:45.287325+00:00
13-04-2021,226500,230000,226000,230000,187313.4375,634607,2026-02-19 06:47:45.287325+00:00
14-04-2021,231000,237000,230500,232500,189349.4219,940909,2026-02-19 06:47:45.287325+00:00
15-04-2021,232500,232500,229000,230500,187720.6094,555364,2026-02-19 06:47:45.287325+00:00
16-04-2021,231500,233500,230500,231500,188535.0156,577562,2026-02-19 06:47:45.287325+00:00
19-04-2021,232000,232500,229000,230000,187313.4375,715867,2026-02-19 06:47:45.287325+00:00
20-04-2021,230000,231000,228500,229000,186499,722449,2026-02-19 06:47:45.287325+00:00
21-04-2021,227500,228000,224000,225500,183648.5938,848076,2026-02-19 06:47:45.287325+00:00
22-04-2021,226500,231000,225500,226000,184055.7969,1025922,2026-02-19 06:47:45.287325+00:00
23-04-2021,225500,225500,220500,221000,179983.7656,1202196,2026-02-19 06:47:45.287325+00:00
26-04-2021,221500,222500,220000,221500,180390.9844,653982,2026-02-19 06:47:45.287325+00:00
27-04-2021,222000,222500,218000,220000,179169.3594,763634,2026-02-19 06:47:45.287325+00:00
28-04-2021,220000,223500,219500,221500,180390.9844,701452,2026-02-19 06:47:45.287325+00:00
29-04-2021,221000,221500,217000,217500,177133.3281,1047837,2026-02-19 06:47:45.287325+00:00
30-04-2021,216000,216500,211000,212000,172654.1094,1168115,2026-02-19 06:47:45.287325+00:00
03-05-2021,212000,222500,211000,218000,177540.5469,1189242,2026-02-19 06:47:45.287325+00:00
04-05-2021,220000,224500,217500,223500,182019.7969,953550,2026-02-19 06:47:45.287325+00:00
06-05-2021,223000,225000,221000,223500,182019.7969,645594,2026-02-19 06:47:45.287325+00:00
07-05-2021,223500,227000,221000,224000,182426.9844,639489,2026-02-19 06:47:45.287325+00:00
10-05-2021,226500,230000,225500,229500,186906.2031,1117219,2026-02-19 06:47:45.287325+00:00
11-05-2021,227000,228500,223500,226500,184463.0156,852825,2026-02-19 06:47:45.287325+00:00
12-05-2021,226500,233000,223000,227500,185277.4063,1649500,2026-02-19 06:47:45.287325+00:00
13-05-2021,224000,232000,221500,229500,186906.2031,1593554,2026-02-19 06:47:45.287325+00:00
14-05-2021,234000,236000,226500,229000,186499,1357407,2026-02-19 06:47:45.287325+00:00
